year,cycles_year,annual_degradation_%,cumulative_degradation_%,soh_%,residual_capacity_kwh,c_rate,soc_window_%,degradation_source
106,365.25,0.011901395374047753,7.515672093085776,92.48432790691422,924.8432790691422,0.5,5%-95%,Cyclic + Calendar
107,365.25,0.011844858196309361,7.527516951282082,92.47248304871792,924.7248304871791,0.5,5%-95%,Cyclic + Calendar
108,365.25,0.011789111769951432,7.539306063052047,92.46069393694796,924.6069393694796,0.5,5%-95%,Cyclic + Calendar
109,365.25,0.011734137832183932,7.551040200884218,92.44895979911578,924.4895979911578,0.5,5%-95%,Cyclic + Calendar
110,365.25,0.01167991870518108,7.562720119589406,92.4372798804106,924.372798804106,0.5,5%-95%,Cyclic + Calendar
111,365.25,0.01162643727249133,7.574346556861901,92.4256534431381,924.256534431381,0.5,5%-95%,Cyclic + Calendar
112,365.25,0.011573676956118106,7.585920233818006,92.41407976618198,924.1407976618199,0.5,5%-95%,Cyclic + Calendar
113,365.25,0.01152162169495341,7.597441855512963,92.40255814448703,924.0255814448703,0.5,5%-95%,Cyclic + Calendar
114,365.25,0.011470255924371031,7.608912111437338,92.39108788856267,923.9108788856266,0.5,5%-95%,Cyclic + Calendar
115,365.25,0.011419564556535988,7.620331675993872,92.37966832400613,923.7966832400613,0.5,5%-95%,Cyclic + Calendar
116,365.25,0.01136953296181673,7.631701208955688,92.36829879104431,923.6829879104431,0.5,5%-95%,Cyclic + Calendar
117,365.25,0.011320146951084098,7.643021355906776,92.35697864409322,923.5697864409323,0.5,5%-95%,Cyclic + Calendar
118,365.25,0.011271392758794718,7.6542927486655685,92.34570725133443,923.4570725133443,0.5,5%-95%,Cyclic + Calendar
119,365.25,0.011223257026813371,7.665516005692387,92.33448399430762,923.3448399430762,0.5,5%-95%,Cyclic + Calendar
120,365.25,0.011175726789156215,7.676691732481528,92.32330826751847,923.2330826751846,0.5,5%-95%,Cyclic + Calendar
121,365.25,0.011128789457120548,7.687820521938665,92.31217947806134,923.1217947806134,0.5,5%-95%,Cyclic + Calendar
122,365.25,0.011082432805585539,7.698902954744241,92.30109704525576,923.0109704525576,0.5,5%-95%,Cyclic + Calendar
123,365.25,0.011036644959256136,7.709939599703497,92.2900604002965,922.900604002965,0.5,5%-95%,Cyclic + Calendar
124,365.25,0.010991414380214337,7.720931014083704,92.2790689859163,922.7906898591629,0.5,5%-95%,Cyclic + Calendar
125,365.25,0.010946729855470494,7.731877743939187,92.26812225606082,922.6812225606081,0.5,5%-95%,Cyclic + Calendar
126,365.25,0.010902580485492308,7.7427803244246824,92.25721967557531,922.5721967557532,0.5,5%-95%,Cyclic + Calendar
127,365.25,0.010858955672836146,7.753639280097508,92.24636071990248,922.4636071990249,0.5,5%-95%,Cyclic + Calendar
128,365.25,0.010815845111528688,7.764455125209049,92.23554487479095,922.3554487479096,0.5,5%-95%,Cyclic + Calendar
129,365.25,0.010773238776994275,7.775228363986039,92.22477163601395,922.2477163601396,0.5,5%-95%,Cyclic + Calendar
130,365.25,0.010731126915982258,7.785959490902012,92.21404050909798,922.1404050909798,0.5,5%-95%,Cyclic + Calendar
131,365.25,0.010689500037369726,7.7966489909393975,92.20335100906061,922.0335100906061,0.5,5%-95%,Cyclic + Calendar
132,365.25,0.01064834890324846,7.807297339842634,92.19270266015737,921.9270266015736,0.5,5%-95%,Cyclic + Calendar
133,365.25,0.010607664520011896,7.8179050043626495,92.18209499563736,921.8209499563735,0.5,5%-95%,Cyclic + Calendar
134,365.25,0.010567438130453867,7.828472442493103,92.17152755750689,921.715275575069,0.5,5%-95%,Cyclic + Calendar
135,365.25,0.01052766120559454,7.8390001036987,92.1609998963013,921.609998963013,0.5,5%-95%,Cyclic + Calendar
136,365.25,0.010488325437211189,7.849488429135906,92.1505115708641,921.5051157086409,0.5,5%-95%,Cyclic + Calendar
137,365.25,0.01044942273047127,7.859937851866386,92.14006214813362,921.4006214813362,0.5,5%-95%,Cyclic + Calendar
138,365.25,0.01041094519704302,7.870348797063423,92.12965120293659,921.2965120293658,0.5,5%-95%,Cyclic + Calendar
139,365.25,0.010372885148217392,7.880721682211641,92.11927831778836,921.1927831778836,0.5,5%-95%,Cyclic + Calendar
140,365.25,0.010335235088609805,7.891056917300254,92.10894308269974,921.0894308269975,0.5,5%-95%,Cyclic + Calendar
141,365.25,0.01029798770987327,7.901354905010131,92.09864509498988,920.9864509498988,0.5,5%-95%,Cyclic + Calendar
142,365.25,0.010261135884763916,7.9116160408948835,92.08838395910512,920.8838395910511,0.5,5%-95%,Cyclic + Calendar
143,365.25,0.01022467266135436,7.921840713556241,92.07815928644376,920.7815928644376,0.5,5%-95%,Cyclic + Calendar
144,365.25,0.0101885912576563,7.9320293048139074,92.06797069518609,920.679706951861,0.5,5%-95%,Cyclic + Calendar
145,365.25,0.010152885056220385,7.942182189870117,92.05781781012988,920.5781781012988,0.5,5%-95%,Cyclic + Calendar
146,365.25,0.010117547598986221,7.9522997374691045,92.0477002625309,920.477002625309,0.5,5%-95%,Cyclic + Calendar
147,365.25,0.010082572582552985,7.962382310051649,92.03761768994835,920.3761768994834,0.5,5%-95%,Cyclic + Calendar
148,365.25,0.010047953853256786,7.972430263904914,92.02756973609509,920.2756973609509,0.5,5%-95%,Cyclic + Calendar
149,365.25,0.010013685402816464,7.982443949307726,92.01755605069228,920.1755605069227,0.5,5%-95%,Cyclic + Calendar
150,365.25,0.009979761363752004,7.992423710671479,92.00757628932851,920.0757628932852,0.5,5%-95%,Cyclic + Calendar
151,365.25,0.009946176005337292,8.002369886676815,91.99763011332318,919.9763011332318,0.5,5%-95%,Cyclic + Calendar
152,365.25,0.009912923729427802,8.012282810406242,91.98771718959375,919.8771718959375,0.5,5%-95%,Cyclic + Calendar
153,365.25,0.009879999066583878,8.022162809472826,91.97783719052717,919.7783719052717,0.5,5%-95%,Cyclic + Calendar
154,365.25,0.009847396672296328,8.032010206145118,91.96798979385488,919.6798979385487,0.5,5%-95%,Cyclic + Calendar
155,365.25,0.009815111323280234,8.04182531746841,91.95817468253159,919.5817468253159,0.5,5%-95%,Cyclic + Calendar
156,365.25,0.009783137914098461,8.051608455382505,91.9483915446175,919.4839154461749,0.5,5%-95%,Cyclic + Calendar
157,365.25,0.009751471453569138,8.061359926836081,91.93864007316392,919.3864007316392,0.5,5%-95%,Cyclic + Calendar
158,365.25,0.009720107061707495,8.07108003389778,91.92891996610221,919.2891996610222,0.5,5%-95%,Cyclic + Calendar
159,365.25,0.009689039966360724,8.080769073864143,91.91923092613585,919.1923092613586,0.5,5%-95%,Cyclic + Calendar
160,365.25,0.009658265500343077,8.090427339364497,91.9095726606355,919.0957266063551,0.5,5%-95%,Cyclic + Calendar
161,365.25,0.009627779098389055,8.100055118462885,91.89994488153712,918.9994488153712,0.5,5%-95%,Cyclic + Calendar
162,365.25,0.009597576294288502,8.109652694757168,91.89034730524284,918.9034730524284,0.5,5%-95%,Cyclic + Calendar
163,365.25,0.00956765271820359,8.11922034747537,91.88077965252464,918.8077965252463,0.5,5%-95%,Cyclic + Calendar
164,365.25,0.009538004093997188,8.12875835156936,91.87124164843064,918.7124164843063,0.5,5%-95%,Cyclic + Calendar
165,365.25,0.009508626236606688,8.13826697780598,91.86173302219403,918.6173302219403,0.5,5%-95%,Cyclic + Calendar
166,365.25,0.009479515049713427,8.147746492855687,91.85225350714431,918.5225350714431,0.5,5%-95%,Cyclic + Calendar
167,365.25,0.009450666523105155,8.15719715937879,91.8428028406212,918.4280284062121,0.5,5%-95%,Cyclic + Calendar
168,365.25,0.009422076730584194,8.166619236109367,91.83338076389063,918.3338076389063,0.5,5%-95%,Cyclic + Calendar
169,365.25,0.009393741827591385,8.176012977936962,91.82398702206304,918.2398702206303,0.5,5%-95%,Cyclic + Calendar
170,365.25,0.009365658049091508,8.185378635986062,91.81462136401393,918.1462136401394,0.5,5%-95%,Cyclic + Calendar
171,365.25,0.009337821707458716,8.19471645769352,91.80528354230648,918.0528354230648,0.5,5%-95%,Cyclic + Calendar
172,365.25,0.009310229190396058,8.204026686883912,91.7959733131161,917.9597331311609,0.5,5%-95%,Cyclic + Calendar
173,365.25,0.009282876959036911,8.213309563842953,91.78669043615704,917.8669043615705,0.5,5%-95%,Cyclic + Calendar
174,365.25,0.009255761546023677,8.222565325388972,91.77743467461103,917.7743467461103,0.5,5%-95%,Cyclic + Calendar
175,365.25,0.009228879553609204,8.231794204942572,91.76820579505743,917.6820579505742,0.5,5%-95%,Cyclic + Calendar
176,365.25,0.009202227651906014,8.240996432594486,91.75900356740551,917.5900356740551,0.5,5%-95%,Cyclic + Calendar
177,365.25,0.009175802577215108,8.250172235171698,91.7498277648283,917.498277648283,0.5,5%-95%,Cyclic + Calendar
178,365.25,0.009149601130195605,8.2593218363019,91.74067816369809,917.406781636981,0.5,5%-95%,Cyclic + Calendar
179,365.25,0.009123620174409553,8.268445456476304,91.7315545435237,917.3155454352369,0.5,5%-95%,Cyclic + Calendar
180,365.25,0.009097856634582513,8.277543313110888,91.7224566868891,917.2245668688911,0.5,5%-95%,Cyclic + Calendar
181,365.25,0.009072307495227961,8.286615620606117,91.71338437939389,917.1338437939388,0.5,5%-95%,Cyclic + Calendar
182,365.25,0.009046969799044291,8.29566259040516,91.70433740959484,917.0433740959484,0.5,5%-95%,Cyclic + Calendar
183,365.25,0.009021840645539214,8.304684431050696,91.6953155689493,916.953155689493,0.5,5%-95%,Cyclic + Calendar
184,365.25,0.008996917189608666,8.313681348240316,91.68631865175969,916.8631865175969,0.5,5%-95%,Cyclic + Calendar
185,365.25,0.00897219664024078,8.32265354488055,91.67734645511945,916.7734645511945,0.5,5%-95%,Cyclic + Calendar
186,365.25,0.008947676259072068,8.331601221139623,91.66839877886036,916.6839877886038,0.5,5%-95%,Cyclic + Calendar
187,365.25,0.008923353359273278,8.3405245744989,91.6594754255011,916.594754255011,0.5,5%-95%,Cyclic + Calendar
188,365.25,0.008899225304219271,8.349423799803118,91.65057620019688,916.5057620019688,0.5,5%-95%,Cyclic + Calendar
189,365.25,0.008875289506283935,8.35829908930939,91.6417009106906,916.417009106906,0.5,5%-95%,Cyclic + Calendar
190,365.25,0.008851543425691943,8.36715063273509,91.63284936726491,916.3284936726491,0.5,5%-95%,Cyclic + Calendar
191,365.25,0.008827984569450109,8.375978617304547,91.62402138269545,916.2402138269546,0.5,5%-95%,Cyclic + Calendar
192,365.25,0.008804610490142294,8.38478322779469,91.61521677220532,916.1521677220532,0.5,5%-95%,Cyclic + Calendar
193,365.25,0.008781418784917606,8.393564646579598,91.6064353534204,916.064353534204,0.5,5%-95%,Cyclic + Calendar
194,365.25,0.008758407094421728,8.40232305367402,91.59767694632598,915.9767694632598,0.5,5%-95%,Cyclic + Calendar
195,365.25,0.008735573101864702,8.411058626775885,91.5889413732241,915.8894137322411,0.5,5%-95%,Cyclic + Calendar
196,365.25,0.008712914531940896,8.419771541307833,91.58022845869218,915.8022845869217,0.5,5%-95%,Cyclic + Calendar
197,365.25,0.008690429149964984,8.428461970457796,91.57153802954221,915.715380295422,0.5,5%-95%,Cyclic + Calendar
198,365.25,0.008668114760848767,8.43713008521865,91.56286991478136,915.6286991478136,0.5,5%-95%,Cyclic + Calendar
199,365.25,0.008645969208339465,8.445776054426974,91.55422394557303,915.5422394557302,0.5,5%-95%,Cyclic + Calendar
200,365.25,0.008623990373928336,8.454400044800911,91.54559995519908,915.4559995519909,0.5,5%-95%,Cyclic + Calendar
201,365.25,0.008602176176304965,8.463002220977216,91.53699777902278,915.3699777902278,0.5,5%-95%,Cyclic + Calendar
202,365.25,0.008580524570220405,8.471582745547439,91.52841725445256,915.2841725445256,0.5,5%-95%,Cyclic + Calendar
203,365.25,0.008559033545896,8.480141779093328,91.51985822090667,915.1985822090667,0.5,5%-95%,Cyclic + Calendar
204,365.25,0.008537701128091157,8.488679480221434,91.51132051977856,915.1132051977858,0.5,5%-95%,Cyclic + Calendar
205,365.25,0.008516525375523543,8.497196005596955,91.50280399440305,915.0280399440305,0.5,5%-95%,Cyclic + Calendar
206,365.25,0.00849550437990274,8.505691509976849,91.49430849002314,914.9430849002315,0.5,5%-95%,Cyclic + Calendar
207,365.25,0.008474636265361823,8.514166146242212,91.4858338537578,914.8583385375779,0.5,5%-95%,Cyclic + Calendar
208,365.25,0.008453919187741122,8.522620065429958,91.47737993457005,914.7737993457005,0.5,5%-95%,Cyclic + Calendar
209,365.25,0.008433351333860627,8.531053416763811,91.46894658323619,914.6894658323619,0.5,5%-95%,Cyclic + Calendar
210,365.25,0.008412930920826511,8.539466347684643,91.46053365231536,914.6053365231536,0.5,5%-95%,Cyclic + Calendar
211,365.25,0.008392656195496784,8.547859003880143,91.45214099611985,914.5214099611986,0.5,5%-95%,Cyclic + Calendar
212,365.25,0.00837252543373097,8.556231529313871,91.44376847068612,914.4376847068613,0.5,5%-95%,Cyclic + Calendar
213,365.25,0.008352536939821676,8.564584066253683,91.43541593374631,914.3541593374631,0.5,5%-95%,Cyclic + Calendar
214,365.25,0.0083326890458693,8.572916755299568,91.42708324470044,914.2708324470044,0.5,5%-95%,Cyclic + Calendar
215,365.25,0.008312980111327306,8.581229735410892,91.41877026458911,914.1877026458911,0.5,5%-95%,Cyclic + Calendar
216,365.25,0.008293408522195022,8.58952314393308,91.41047685606691,914.1047685606692,0.5,5%-95%,Cyclic + Calendar
217,365.25,0.008273972690642496,8.597797116623726,91.40220288337628,914.0220288337628,0.5,5%-95%,Cyclic + Calendar
218,365.25,0.00825467105446478,8.606051787678187,91.3939482123218,913.9394821232181,0.5,5%-95%,Cyclic + Calendar
219,365.25,0.0082355020764453,8.614287289754632,91.38571271024537,913.8571271024537,0.5,5%-95%,Cyclic + Calendar
220,365.25,0.008216464243946576,8.622503753998576,91.37749624600143,913.7749624600142,0.5,5%-95%,Cyclic + Calendar
221,365.25,0.008197556068341782,8.630701310066922,91.36929868993307,913.6929868993308,0.5,5%-95%,Cyclic + Calendar
222,365.25,0.008178776084594119,8.638880086151513,91.36111991384848,913.6111991384848,0.5,5%-95%,Cyclic + Calendar
223,365.25,0.008160122850677,8.647040209002203,91.3529597909978,913.5295979099781,0.5,5%-95%,Cyclic + Calendar
224,365.25,0.008141594947267095,8.655181803949457,91.34481819605054,913.4481819605054,0.5,5%-95%,Cyclic + Calendar
225,365.25,0.008123190977050854,8.663304994926516,91.3366950050735,913.3669500507349,0.5,5%-95%,Cyclic + Calendar
226,365.25,0.008104909564576702,8.671409904491092,91.32859009550891,913.2859009550891,0.5,5%-95%,Cyclic + Calendar
227,365.25,0.00808674935557292,8.679496653846666,91.32050334615333,913.2050334615334,0.5,5%-95%,Cyclic + Calendar
228,365.25,0.008068709016663435,8.687565362863332,91.31243463713668,913.1243463713668,0.5,5%-95%,Cyclic + Calendar
229,365.25,0.008050787234913058,8.695616150098244,91.30438384990175,913.0438384990176,0.5,5%-95%,Cyclic + Calendar
